Airdate,Animation,Animation Supervisor,Copyright year,Creative,Episode ?,Guest(s),Line Producer,Main,Next,Previous,Production code,Running time,Season ?,Sister episode(s),Storyboard,Storyboard Artist(s),Supervising,Supervising Producer(s),Technical,U.S. premiere time (ET),U.S. viewers (millions),Writer(s),characters,title
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,French Narrator,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Sea urchins,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,SpongeBob SquarePants,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Gary the Snail,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Shelley,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Patrick Star,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Squidward Tentacles,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Eugene H. Krabs,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Incidentals,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Incidental 30,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Incidental 30A,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Betsy Krabs,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,French Narrator,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Sea urchins,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,SpongeBob SquarePants,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Gary the Snail,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Shelley,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Patrick Star,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Squidward Tentacles,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Eugene H. Krabs,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Incidentals,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Incidental 30,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Incidental 30A,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Derek Drymon,Betsy Krabs,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,French Narrator,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Sea urchins,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,SpongeBob SquarePants,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Gary the Snail,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Shelley,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Patrick Star,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Squidward Tentacles,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Eugene H. Krabs,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Incidentals,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Incidental 30,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Incidental 30A,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Reef Blower""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Tim Hill,Betsy Krabs,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Tea at the Treedome""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,French Narrator,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Tea at the Treedome""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Sea urchins,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Tea at the Treedome""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,SpongeBob SquarePants,Help Wanted
1997/1998,Alan Smart,,1997 (1997 version),Derek Drymon,1a,,,,Reef Blower,,PILOT (original 1997 cut),"8 minutes, 16 seconds",1,"""Tea at the Treedome""",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,Stephen Hillenburg,Gary the Snail,Help Wanted
